#Timestep exx eyy ezz sxx syy szz sxy sxz syz sxx1 lz pxx
107700 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00393746926505504 -7.49980561546257e-05 -0.000543487988416711 -0.416994351964239 0.000682714072928391 -0.000372743367156554 3.57951469509026 110.000086616651 0.039374692650548
107800 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00155793212172537 -0.00104695991346021 -0.00254472488308072 -0.422435084733675 0.00194472335989896 -0.000122307153803082 1.41630081361185 110.000086616651 0.0155793212172575
107900 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0102344272521756 0.00288018253769664 0.00436565303042772 -0.427730798595485 0.00185599304473646 -0.000103912790402454 9.30401744849756 110.000086616651 0.10234427252176
108000 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 5.17003127541723e-05 -0.00191693175868047 -0.00398773491636252 -0.433342791239276 0.000408749561626554 -2.13411578307565e-05 0.0470002473128474 110.000086616651 0.000517003127541743
108100 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00684820386058692 0.00105596404208253 0.00142103026973574 -0.438601777615956 -0.00130603787966848 -0.000135993443923561 6.22563497104582 110.000086616651 0.0684820386058689
108200 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00747778479918279 0.00135125169299601 0.00181892722819874 -0.443986141827768 -0.00206504003876443 -2.65125272021731e-05 6.79798082818133 110.000086616651 0.0747778479918301
108300 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.000342003602470122 -0.00209534894916591 -0.00411812471199951 -0.449466525573023 -0.00135549347597851 6.80798119432592e-05 0.310912121062232 110.000086616651 0.00342003602470408
108400 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0107437802648506 0.00276023051822751 0.00423045766308657 -0.45472663538815 0.000340721582449523 0.000145377121578639 9.76706527722338 110.000086616651 0.107437802648503
108500 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00276140613766179 -0.000924519581457659 -0.00234759546406491 -0.460298493920746 0.00174933076823934 0.000364554704277303 2.51036723933251 110.000086616651 0.0276140613766142
108600 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00466250895550334 -5.75999745669155e-05 -0.000847069290605004 -0.465656323155022 0.0019315938394178 0.00053553754149651 4.23864116739483 110.000086616651 0.0466250895550301
108700 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0103305803395709 0.00241263977742358 0.00364138427215225 -0.470941659720116 0.000656876795514096 0.000498983919400641 9.39142927729942 110.000086616651 0.103305803395709
108800 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.000449235931094808 -0.00219437836528462 -0.00454391314793369 -0.476521541573245 -0.00109730791506806 0.000334960578444418 0.408395979414444 110.000086616651 0.00449235931094926
108900 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00996288462122396 0.00221572541979279 0.00307094820621249 -0.481744557774345 -0.00210678388044954 0.000366605967985984 9.05716070564971 110.000086616651 0.0996288462122376
109000 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00628704945742333 0.000485239697558238 -2.32349255543168e-05 -0.487222755293462 -0.00162695326910647 0.000535565336429313 5.71549500622997 110.000086616651 0.0628704945742354
109100 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00279255893766074 -0.00113289104899389 -0.00304811182840331 -0.492708484216606 1.05785325894095e-05 0.000593309302109161 2.53868794430388 110.000086616651 0.0279255893766109
109200 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0121334149901131 0.00315993013802286 0.00447420132310675 -0.497924234368156 0.00160496336117683 0.00072553300248711 11.0303685781611 110.000086616651 0.121334149901132
109300 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00228083421530769 -0.00121889232828538 -0.00364851247037947 -0.503528350691038 0.0019915972253964 0.000842819704035194 2.07348401756843 110.000086616651 0.0228083421530847
109400 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00820822770967343 0.00158690603812679 0.000931484699963533 -0.508810620742759 0.000906128869881557 0.000829862866372167 7.46201931483837 110.000086616651 0.0820822770967325
109500 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00995383124202027 0.00248809003844092 0.00226512430767342 -0.514156406652969 -0.00088355053775085 0.000784301587878723 9.04893036739985 110.000086616651 0.0995383124202019
109600 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00218884412648619 -0.00107421833088517 -0.00427515377821018 -0.519750940239221 -0.00217784204518366 0.000665504576682698 1.98985672994448 110.000086616651 0.0218884412648611
109700 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0126937401578681 0.00365576947818348 0.00408714107360596 -0.524887044327758 -0.00183677301653795 0.000668869813900232 11.5397546931991 110.000086616651 0.126937401578684
109800 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00557852700312664 0.000356402988035431 -0.00187231087282204 -0.530395821646345 -0.000188610441611559 0.000885183867998943 5.07138419133045 110.000086616651 0.055785270031265
109900 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00645859135481502 0.000648201487830575 -0.00139081730404924 -0.535726816511618 0.00145815223236841 0.00107069224417188 5.87144206288049 110.000086616651 0.06458591354815
110000 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0130521197824451 0.00381730405886596 0.0038914437953277 -0.540941877253365 0.00199846725476578 0.000998153075697221 11.8655540953632 110.000086616651 0.130521197824452
110100 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00312450218074575 -0.000509581826446183 -0.00439549038252638 -0.546575220890767 0.00101905610370164 0.000992979870994086 2.84045429130852 110.000086616651 0.0312450218074607
110200 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0120508560272076 0.00363409394053619 0.00270092767062921 -0.551707938945535 -0.000718265061651396 0.00084667908257839 10.9553150346187 110.000086616651 0.120508560272079
